name,price,color,country,alcogol_percentage,type,brand,sugar,region,style,sort,classification
"Вино Банрок Стейшн Шираз / Banrock Station Shiraz, красное сухое 0.75л",284.00,красное,Австралия,13.50,тихое,"Accolade, Banrock Station",сухое,Південно-Східна Австралія,плотное,сира/шираз,
"Вино Финка Лас Морас Совиньон Блан / Finca Las Moras Sauvignon Blanc, белое сухое 0.75л",284.00,белое,Аргентина,13.00,тихое,Finca Las Moras,сухое,Сан Хуан,легкое,совиньйон блан,
"Вино Банрок Стейшн Шираз Матаро / Banrock Station Shiraz Mataro, красное сухое 0.75л",284.00,красное,Австралия,13.50,тихое,"Accolade, Banrock Station",сухое,Південно-Східна Австралія,плотное,сира/шираз,
"Вино Мезон Кастель Лангедок / Maison Castel Languedoc, красное сухое 0.75л",319.00,красное,Франция,,тихое,,сухое,Лангедок-Руссильон,плотное,"гренаш, сира/шираз",Languedoc AOC
"Вино Мезон Кастель Гевюрцтраминер / Maison Castel Gewurztraminer, белое полусухое 0.75л",289.00,белое,Франция,12.00,тихое,Maison Castel,полусухое,Лангедок,легкое,гевюрцтраминер,Pays d'Oc IGP
"Вино Мезон Кастель Сира / Maison Castel Syrah, красное полусухое 0.75л",289.00,красное,Франция,13.00,тихое,Maison Castel,полусухое,Лангедок,легкое,сира/шираз,Pays d'Oc IGP
"Вино Мезон Кастель Гренаш Медиум Свит / Maison Castel Grenache Medium Sweet, красное полусладкое 0.75л",289.00,красное,Франция,12.50,тихое,Maison Castel,полусладкое,Лангедок,легкое,гренаш,Pays d'Oc IGP
"Вино Мезон Кастель Шардоне / Maison Castel Chardonnay, белое полусухое 0.75л",289.00,белое,Франция,12.50,тихое,Maison Castel,полусухое,Юго-Западный регион,легкое,шардоне,Cotes de Gascogne IGP
"Вино Эко Фолс Вайт Зинфандель / Echo Falls White Zinfandel, розовое сухое 0.75л",289.00,розовое,США,10.50,тихое,"Accolade, Echo Falls",сухое,Калифорния,легкое,зинфандель,
"Вино Гео Киндзмараули / Geo Kindzmarauli, красное полусладкое 0.75л",294.00,красное,Грузия,12.50,тихое,Geo,полусладкое,,плотное,саперави,
"Вино Финка Лас Морас Бланко Дульсе Натураль / Finca Las Moras Blanco Dulce, белое сладкое 0.75л",294.00,белое,Аргентина,10.00,тихое,Finca Las Moras,сладкое,Сан Хуан,плотное,"торонтес, шенин блан",
"Вино  Сетесоли Каберне Совиньон Сицилия / Settesoli Cabernet Sauvignon Sicilia, красное сухое 0.75л",299.00,красное,Италия,13.50,,Settesoli,сухое,Сицилия,легкое,каберне совиньйон,Sicilia DOC
"Вино Сетесоли Пино Гриджо Сичилия / Settesoli Pinot Grigio Sicilia, белое сухое 0.75л",299.00,белое,Италия,13.00,тихое,Settesoli,сухое,Сицилия,легкое,пино гриджио,Bianco Terre Siciliane IGT
"Вино ДаДа Арт Вайн №3 / DaDa Art Wine №3, красное полусухое 0.75л",299.00,красное,Аргентина,12.50,тихое,"DaDa, Finca Las Moras",полусухое,Сан Хуан,плотное,мерло,
"Вино DaDa Art Wine №2, красное полусухое 0.75л",299.00,красное,Аргентина,12.50,тихое,"DaDa, Finca Las Moras",полусухое,Сан Хуан,плотное,"каберне совиньйон, сира/шираз",
"Вино DaDa Art Wine №1, красное полусухое 0.75л",299.00,красное,Аргентина,12.50,тихое,"DaDa, Finca Las Moras",полусухое,Сан Хуан,плотное,"бонарда, мальбек",
